
Training for 500 updates...
------------------------------------------------------------
Update  249 | reward:  -0.300 | pl: -0.0033 | vf: 0.0903 | ent: 10.893 | time: 16.0s
Update  250 | reward:     nan | pl: -0.0023 | vf: 0.0239 | ent: 10.892 | time: 15.9s
Update  251 | reward:  -1.333 | pl: -0.0032 | vf: 0.0490 | ent: 10.896 | time: 16.0s
Update  252 | reward:     nan | pl: -0.0051 | vf: 0.0244 | ent: 10.882 | time: 16.0s
Update  253 | reward:  -0.033 | pl: -0.0049 | vf: 0.0317 | ent: 10.896 | time: 16.1s
Update  254 | reward:  -1.333 | pl: -0.0027 | vf: 0.0338 | ent: 10.907 | time: 16.0s
Update  255 | reward:     nan | pl: -0.0008 | vf: 0.0266 | ent: 10.895 | time: 16.0s
Update  256 | reward:  -1.100 | pl: -0.0019 | vf: 0.0526 | ent: 10.905 | time: 16.0s
Update  257 | reward:  -0.033 | pl: -0.0059 | vf: 0.0541 | ent: 10.910 | time: 16.0s
Update  258 | reward:     nan | pl: -0.0022 | vf: 0.0277 | ent: 10.901 | time: 16.0s
Update  259 | reward:  -1.100 | pl: -0.0199 | vf: 0.0450 | ent: 10.906 | time: 16.0s
Update  260 | reward:  -1.633 | pl: -0.0023 | vf: 0.0633 | ent: 10.896 | time: 16.0s
Update  261 | reward:     nan | pl: -0.0024 | vf: 0.0284 | ent: 10.890 | time: 16.0s
Update  262 | reward:  -1.067 | pl: -0.0029 | vf: 0.0415 | ent: 10.896 | time: 16.0s
Update  263 | reward:     nan | pl: -0.0057 | vf: 0.0616 | ent: 10.884 | time: 16.0s
Update  264 | reward:   0.800 | pl: -0.0009 | vf: 0.0672 | ent: 10.885 | time: 16.0s
Update  265 | reward:  -1.600 | pl: -0.0038 | vf: 0.0493 | ent: 10.897 | time: 16.0s
Update  266 | reward:     nan | pl: -0.0011 | vf: 0.0238 | ent: 10.884 | time: 16.0s
Update  267 | reward:  -1.100 | pl: -0.0022 | vf: 0.0603 | ent: 10.895 | time: 16.0s
